ランク,所属コード,上位ランク,0,部門名称,開始世代,終了世代,コード1,コード2,コード3,コード4,コード5,コード6,コード7,コード8,コード9,名称1,名称2,名称3,名称4,名称5,名称6,名称7,名称8,名称9,所属名称,略称,備考,給与専用,所属コード,総表示順位
1,00000001,0,0,株式会社  大広,2,9999,2,0,0,0,0,0,0,0,0,株式会社  大広,,,,,,,,,株式会社  大広,大広,,0,00000001,1
2,08011000,1,00000001,役員,4,9999,2,181,0,0,0,0,0,0,0,株式会社  大広,役員,,,,,,,,株式会社  大広 役員,役員,,0,08011000,2
2,08021000,1,00000001,執行役員,21,9999,2,228,0,0,0,0,0,0,0,株式会社  大広,執行役員,,,,,,,,株式会社  大広 執行役員,執行役員,,0,08021000,3
2,08012000,1,00000001,顧問,47,9999,2,275,0,0,0,0,0,0,0,株式会社  大広,顧問,,,,,,,,株式会社  大広 顧問,顧問,,0,08012000,4
4,06021000,1,00000001,監査役業務チーム,64,9999,2,0,0,3167,0,0,0,0,0,株式会社  大広,,,監査役業務チーム,,,,,,株式会社  大広 監査役業務チーム,監査役業務チーム,,0,06021000,5
4,02021000,1,00000001,戦略情報チーム,64,9999,2,0,0,3168,0,0,0,0,0,株式会社  大広,,,戦略情報チーム,,,,,,株式会社  大広 戦略情報チーム,戦略情報チーム,,0,02021000,6
3,02060000,1,00000001,監査局,45,9999,2,0,499,0,0,0,0,0,0,株式会社  大広,,監査局,,,,,,,株式会社  大広 監査局,監査局,,0,02060000,7
4,02061000,3,02060000,監査チーム,64,9999,2,0,499,3174,0,0,0,0,0,株式会社  大広,,監査局,監査チーム,,,,,,株式会社  大広 監査局 監査チーム,監査局監査チーム,,0,02061000,8
4,02060002,3,02060000,付（博報堂ＤＹホールディングス出向）,59,9999,2,0,499,2915,0,0,0,0,0,株式会社  大広,,監査局,付（博報堂ＤＹホールディングス出向）,,,,,,株式会社  大広 監査局 付（博報堂ＤＹホールディングス出向）,監査局付（博報堂ＤＹホールディングス出向）,,0,02060002,9
4,02062000,3,02060000,付（出向休職）,59,9999,2,0,499,2902,0,0,0,0,0,株式会社  大広,,監査局,付（出向休職）,,,,,,株式会社  大広 監査局 付（出向休職）,監査局付（出向休職）,,0,02062000,10
5,02062001,4,02062000,（博報堂ＤＹホールディングス）,59,9999,2,0,499,2902,718,0,0,0,0,株式会社  大広,,監査局,付（出向休職）,（博報堂ＤＹホールディングス）,,,,,株式会社  大広 監査局 付（出向休職） （博報堂ＤＹホールディングス）,監査局付（出向休職）（博報堂ＤＹホールディングス）,,0,02062001,11
5,02062002,4,02062000,（アイビーシステム）,64,9999,2,0,499,2902,822,0,0,0,0,株式会社  大広,,監査局,付（出向休職）,（アイビーシステム）,,,,,株式会社  大広 監査局 付（出向休職） （アイビーシステム）,監査局付（出向休職）（アイビーシステム）,,0,02062002,12
3,04020000,1,00000001,コンテンツ事業推進局,64,9999,2,0,669,0,0,0,0,0,0,株式会社  大広,,コンテンツ事業推進局,,,,,,,株式会社  大広 コンテンツ事業推進局,コンテンツ事業推進局,,0,04020000,13
4,02043500,3,04020000,付（東京駐在）,64,9999,2,0,669,3351,0,0,0,0,0,株式会社  大広,,コンテンツ事業推進局,付（東京駐在）,,,,,,株式会社  大広 コンテンツ事業推進局 付（東京駐在）,コンテンツ事業推進局付（東京駐在）,,0,02043500,14
4,04022000,3,04020000,事業推進チーム,64,9999,2,0,669,3176,0,0,0,0,0,株式会社  大広,,コンテンツ事業推進局,事業推進チーム,,,,,,株式会社  大広 コンテンツ事業推進局 事業推進チーム,コンテンツ事業推進局事業推進チーム,,0,04022000,15
5,04023000,4,04022000,（東京駐在）,64,9999,2,0,669,3176,823,0,0,0,0,株式会社  大広,,コンテンツ事業推進局,事業推進チーム,（東京駐在）,,,,,株式会社  大広 コンテンツ事業推進局 事業推進チーム （東京駐在）,コンテンツ事業推進局事業推進チーム（東京駐在）,,0,04023000,16
4,02043000,3,04020000,大阪コンテンツ開発チーム,64,9999,2,0,669,3177,0,0,0,0,0,株式会社  大広,,コンテンツ事業推進局,大阪コンテンツ開発チーム,,,,,,株式会社  大広 コンテンツ事業推進局 大阪コンテンツ開発チーム,コンテンツ事業推進局大阪コンテンツ開発チーム,,0,02043000,17
4,02042000,3,04020000,東京コンテンツ開発チーム,64,9999,2,0,669,3178,0,0,0,0,0,株式会社  大広,,コンテンツ事業推進局,東京コンテンツ開発チーム,,,,,,株式会社  大広 コンテンツ事業推進局 東京コンテンツ開発チーム,コンテンツ事業推進局東京コンテンツ開発チーム,,0,02042000,18
4,02041000,3,04020000,ソーシャルビジネス開発チーム,64,9999,2,0,669,3179,0,0,0,0,0,株式会社  大広,,コンテンツ事業推進局,ソーシャルビジネス開発チーム,,,,,,株式会社  大広 コンテンツ事業推進局 ソーシャルビジネス開発チーム,コンテンツ事業推進局ソーシャルビジネス開発チーム,,0,02041000,19
4,04020002,3,04020000,付（博報堂出向）,64,9999,2,0,669,3180,0,0,0,0,0,株式会社  大広,,コンテンツ事業推進局,付（博報堂出向）,,,,,,株式会社  大広 コンテンツ事業推進局 付（博報堂出向）,コンテンツ事業推進局付（博報堂出向）,,0,04020002,20
4,02045000,3,04020000,付（出向休職）,64,9999,2,0,669,3181,0,0,0,0,0,株式会社  大広,,コンテンツ事業推進局,付（出向休職）,,,,,,株式会社  大広 コンテンツ事業推進局 付（出向休職）,コンテンツ事業推進局付（出向休職）,,0,02045000,21
5,02045001,4,02045000,（関西ＷＭＧ２０２１組織委員会）,64,9999,2,0,669,3181,825,0,0,0,0,株式会社  大広,,コンテンツ事業推進局,付（出向休職）,（関西ＷＭＧ２０２１組織委員会）,,,,,株式会社  大広 コンテンツ事業推進局 付（出向休職） （関西ＷＭＧ２０２１組織委員会）,コンテンツ事業推進局付（出向休職）（関西ＷＭＧ）,,0,02045001,22
5,02045002,4,02045000,（２０２５年日本国際博覧会協会）,64,9999,2,0,669,3181,877,0,0,0,0,株式会社  大広,,コンテンツ事業推進局,付（出向休職）,（２０２５年日本国際博覧会協会）,,,,,株式会社  大広 コンテンツ事業推進局 付（出向休職） （２０２５年日本国際博覧会協会）,コンテンツ事業推進局付（出向休職）（国際博覧会）,,0,02045002,23
2,10000000,1,00000001,コーポレートプランニング本部,64,9999,2,290,0,0,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,,,,,,,,株式会社  大広 コーポレートプランニング本部,コーポレートプランニング本部,,0,10000000,24
3,10020000,2,10000000,経営企画局,64,9999,2,290,670,0,0,0,0,0,0,株式会社  大広,コーポレートプランニング本部,経営企画局,,,,,,,株式会社  大広 コーポレートプランニング本部 経営企画局,コーポレートプランニング本部経営企画局,,0,10020000,25
